Section;Extruder;Key;Type;Label;Value
top_bottom;1;top_skin_expand_distance;float;Top Skin Expand Distance;1.6
top_bottom;1;bottom_skin_expand_distance;float;Bottom Skin Expand Distance;1.6
top_bottom;1;max_skin_angle_for_expansion;float;Maximum Skin Angle for Expansion;90
top_bottom;1;min_skin_width_for_expansion;float;Minimum Skin Width for Expansion;0
infill;1;infill_sparse_density;float;Infill Density;20
infill;1;infill_line_distance;float;Infill Line Distance;6
infill;1;infill_pattern;enum;Infill Pattern;cubic
infill;1;zig_zaggify_infill;bool;Connect Infill Lines;False
infill;1;infill_angles;[int];Infill Line Directions;[ ]
infill;1;infill_offset_x;float;Infill X Offset;0
infill;1;infill_offset_y;float;Infill Y Offset;0
infill;1;infill_randomize_start_location;bool;Randomize Infill Start;False
infill;1;infill_multiplier;int;Infill Line Multiplier;1
infill;1;infill_wall_line_count;int;Extra Infill Wall Count;0
infill;1;infill_overlap;float;Infill Overlap Percentage;30
infill;1;infill_overlap_mm;float;Infill Overlap;0.12
infill;1;infill_wipe_dist;float;Infill Wipe Distance;0
infill;1;infill_sparse_thickness;float;Infill Layer Thickness;0.2
infill;1;gradual_infill_steps;int;Gradual Infill Steps;0
infill;1;infill_before_walls;bool;Infill Before Walls;False
infill;1;min_infill_area;float;Minimum Infill Area;0
infill;1;infill_support_enabled;bool;Infill Support;False
infill;1;skin_edge_support_thickness;float;Skin Edge Support Thickness;0
infill;1;skin_edge_support_layers;int;Skin Edge Support Layers;0
material;1;material_print_temperature;float;Printing Temperature;240
material;1;material_print_temperature_layer_0;float;Printing Temperature Initial Layer;240
material;1;material_initial_print_temperature;float;Initial Printing Temperature;240
material;1;material_final_print_temperature;float;Final Printing Temperature;240
material;1;material_bed_temperature;float;Build Plate Temperature;70
material;1;material_bed_temperature_layer_0;float;Build Plate Temperature Initial Layer;70
material;1;material_shrinkage_percentage;float;Scaling Factor Shrinkage Compensation;100
material;1;material_shrinkage_percentage_xy;float;Horizontal Scaling Factor Shrinkage Compensation;100
material;1;material_shrinkage_percentage_z;float;Vertical Scaling Factor Shrinkage Compensation;100
material;1;material_flow;float;Flow;100
material;1;wall_material_flow;float;Wall Flow;100
material;1;wall_0_material_flow;float;Outer Wall Flow;100
material;1;wall_x_material_flow;float;Inner Wall(s) Flow;100
material;1;wall_0_material_flow_roofing;float;Top Surface Outer Wall Flow;100
material;1;wall_x_material_flow_roofing;float;Top Surface Inner Wall(s) Flow;100
material;1;skin_material_flow;float;Top/Bottom Flow;100
material;1;infill_material_flow;float;Infill Flow;100
material;1;skirt_brim_material_flow;float;Skirt/Brim Flow;100
material;1;prime_tower_flow;float;Prime Tower Flow;100
material;1;material_flow_layer_0;float;Initial Layer Flow;100
material;1;wall_x_material_flow_layer_0;float;Initial Layer Inner Wall Flow;100
material;1;wall_0_material_flow_layer_0;float;Initial Layer Outer Wall Flow;100
material;1;skin_material_flow_layer_0;float;Initial Layer Bottom Flow;100
material;1;_plugin__curaenginegradualflow__0_1_0__gradual_flow_enabled;bool;Gradual flow enabled;False
speed;1;speed_print;float;Print Speed;120
speed;1;speed_infill;float;Infill Speed;120
speed;1;speed_wall;float;Wall Speed;60
speed;1;speed_wall_0;float;Outer Wall Speed;60
speed;1;speed_wall_x;float;Inner Wall Speed;60
speed;1;speed_wall_0_roofing;float;Top Surface Outer Wall Speed;60
speed;1;speed_wall_x_roofing;float;Top Surface Inner Wall Speed;60
speed;1;speed_topbottom;float;Top/Bottom Speed;60
speed;1;speed_travel;float;Travel Speed;250
speed;1;speed_layer_0;float;Initial Layer Speed;15
speed;1;speed_print_layer_0;float;Initial Layer Print Speed;15
speed;1;speed_travel_layer_0;float;Initial Layer Travel Speed;100
speed;1;skirt_brim_speed;float;Skirt/Brim Speed;15
speed;1;speed_z_hop;float;Z Hop Speed;5
speed;1;speed_slowdown_layers;int;Number of Slower Layers;2
speed;1;speed_equalize_flow_width_factor;float;Flow Equalization Ratio;100
speed;1;acceleration_enabled;bool;Enable Acceleration Control;False
speed;1;jerk_enabled;bool;Enable Jerk Control;True
speed;1;jerk_travel_enabled;bool;Enable Travel Jerk;True
speed;1;jerk_print;float;Print Jerk;8
speed;1;jerk_infill;float;Infill Jerk;8
speed;1;jerk_wall;float;Wall Jerk;8
speed;1;jerk_wall_0;float;Outer Wall Jerk;8
speed;1;jerk_wall_x;float;Inner Wall Jerk;8
speed;1;jerk_wall_0_roofing;float;Top Surface Outer Wall Jerk;8
speed;1;jerk_wall_x_roofing;float;Top Surface Inner Wall Jerk;8
speed;1;jerk_topbottom;float;Top/Bottom Jerk;8
speed;1;jerk_travel;float;Travel Jerk;8
speed;1;jerk_layer_0;float;Initial Layer Jerk;8
speed;1;jerk_print_layer_0;float;Initial Layer Print Jerk;8
speed;1;jerk_travel_layer_0;float;Initial Layer Travel Jerk;8
speed;1;jerk_skirt_brim;float;Skirt/Brim Jerk;8
travel;1;retraction_enable;bool;Enable Retraction;True
travel;1;retract_at_layer_change;bool;Retract at Layer Change;False
travel;1;retraction_amount;float;Retraction Distance;5
travel;1;retraction_speed;float;Retraction Speed;45
travel;1;retraction_retract_speed;float;Retraction Retract Speed;45
travel;1;retraction_prime_speed;float;Retraction Prime Speed;45
travel;1;retraction_extra_prime_amount;float;Retraction Extra Prime Amount;0
travel;1;retraction_min_travel;float;Retraction Minimum Travel;1.5
travel;1;retraction_count_max;int;Maximum Retraction Count;100
travel;1;retraction_extrusion_window;float;Minimum Extrusion Distance Window;10
travel;1;retraction_combing;enum;Combing Mode;noskin
travel;1;retraction_combing_max_distance;float;Max Comb Distance With No Retract;30
travel;1;travel_retract_before_outer_wall;bool;Retract Before Outer Wall;True
travel;1;travel_avoid_other_parts;bool;Avoid Printed Parts When Traveling;True
travel;1;travel_avoid_supports;bool;Avoid Supports When Traveling;True
travel;1;travel_avoid_distance;float;Travel Avoid Distance;0.625
travel;1;layer_start_x;float;Layer Start X;0
travel;1;layer_start_y;float;Layer Start Y;0
travel;1;retraction_hop_enabled;bool;Z Hop When Retracted;False
cooling;1;cool_fan_enabled;bool;Enable Print Cooling;True
cooling;1;cool_fan_speed;float;Fan Speed;50
cooling;1;cool_fan_speed_min;float;Regular Fan Speed;50
cooling;1;cool_fan_speed_max;float;Maximum Fan Speed;50
cooling;1;cool_min_layer_time_fan_speed_max;float;Regular/Maximum Fan Speed Threshold;10
cooling;1;cool_fan_speed_0;float;Initial Fan Speed;0
cooling;1;cool_fan_full_at_height;float;Regular Fan Speed at Height;0.6
cooling;1;cool_fan_full_layer;int;Regular Fan Speed at Layer;4
cooling;1;cool_min_layer_time;float;Minimum Layer Time;10
cooling;1;cool_min_speed;float;Minimum Speed;10
cooling;1;cool_lift_head;bool;Lift Head;False
cooling;1;cool_min_temperature;float;Small Layer Printing Temperature;240
support;1;support_enable;bool;Generate Support;False
platform_adhesion;1;adhesion_type;enum;Build Plate Adhesion Type;skirt
platform_adhesion;1;skirt_line_count;int;Skirt Line Count;3
platform_adhesion;1;skirt_height;int;Skirt Height;3
platform_adhesion;1;skirt_gap;float;Skirt Distance;10
platform_adhesion;1;skirt_brim_minimal_length;float;Skirt/Brim Minimum Length;250
meshfix;1;meshfix_union_all;bool;Union Overlapping Volumes;True
meshfix;1;meshfix_union_all_remove_holes;bool;Remove All Holes;False
meshfix;1;meshfix_extensive_stitching;bool;Extensive Stitching;False
meshfix;1;meshfix_keep_open_polygons;bool;Keep Disconnected Faces;False
meshfix;1;multiple_mesh_overlap;float;Merged Meshes Overlap;0.15
meshfix;1;carve_multiple_volumes;bool;Remove Mesh Intersection;False
meshfix;1;remove_empty_first_layers;bool;Remove Empty First Layers;True
meshfix;1;meshfix_maximum_resolution;float;Maximum Resolution;0.25
meshfix;1;meshfix_maximum_travel_resolution;float;Maximum Travel Resolution;0.25
meshfix;1;meshfix_maximum_deviation;float;Maximum Deviation;0.025
meshfix;1;meshfix_maximum_extrusion_area_deviation;float;Maximum Extrusion Area Deviation;50000
meshfix;1;meshfix_fluid_motion_enabled;bool;Enable Fluid Motion;True
meshfix;1;meshfix_fluid_motion_shift_distance;float;Fluid Motion Shift Distance;0.1
meshfix;1;meshfix_fluid_motion_small_distance;float;Fluid Motion Small Distance;0.01
meshfix;1;meshfix_fluid_motion_angle;float;Fluid Motion Angle;15
blackmagic;1;print_sequence;enum;Print Sequence;all_at_once
blackmagic;1;infill_mesh;bool;Infill Mesh;False
blackmagic;1;infill_mesh_order;int;Mesh Processing Rank;0
blackmagic;1;cutting_mesh;bool;Cutting Mesh;False
blackmagic;1;mold_enabled;bool;Mold;False
blackmagic;1;support_mesh;bool;Support Mesh;False
blackmagic;1;anti_overhang_mesh;bool;Anti Overhang Mesh;False
blackmagic;1;magic_mesh_surface_mode;enum;Surface Mode;normal
blackmagic;1;magic_spiralize;bool;Spiralize Outer Contour;False
blackmagic;1;relative_extrusion;bool;Relative Extrusion;False
experimental;1;slicing_tolerance;enum;Slicing Tolerance;middle
experimental;1;infill_enable_travel_optimization;bool;Infill Travel Optimization;False
experimental;1;minimum_polygon_circumference;float;Minimum Polygon Circumference;1
experimental;1;draft_shield_enabled;bool;Enable Draft Shield;False
experimental;1;conical_overhang_enabled;bool;Make Overhang Printable;False
experimental;1;coasting_enable;bool;Enable Coasting;False
experimental;1;magic_fuzzy_skin_enabled;bool;Fuzzy Skin;False
experimental;1;flow_rate_max_extrusion_offset;float;Flow Rate Compensation Max Extrusion Offset;0
experimental;1;flow_rate_extrusion_offset_factor;float;Flow Rate Compensation Factor;100
experimental;1;adaptive_layer_height_enabled;bool;Use Adaptive Layers;False
experimental;1;wall_overhang_angle;float;Overhanging Wall Angle;90
experimental;1;wall_overhang_speed_factor;float;Overhanging Wall Speed;100
experimental;1;bridge_settings_enabled;bool;Enable Bridge Settings;False
experimental;1;clean_between_layers;bool;Wipe Nozzle Between Layers;False
experimental;1;small_hole_max_size;float;Small Hole Max Size;0
experimental;1;material_alternate_walls;bool;Alternate Wall Directions;False
experimental;1;group_outer_walls;bool;Group Outer Walls;True
